斥/岿/老,辆啊,措厚,芭贰樊(林),扁包_概荐樊(林),扁包_概档樊(林),扁包_鉴概荐(林),寇惫牢_概荐樊(林),寇惫牢_概档樊(林),寇惫牢_鉴概荐(林),辆格内靛,辆格疙,isu_cd
2001/04/23,3500.0,-45.0,22240,0,10480,-10480,0,0,0,000060,皋府明拳犁,KR7000060004
2001/04/20,3545.0,-105.0,11270,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/04/19,3650.0,170.0,41310,0,190,-190,0,0,0,000060,皋府明拳犁,KR7000060004
2001/04/18,3480.0,155.0,30390,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/04/17,3325.0,30.0,5310,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/04/16,3295.0,-25.0,11020,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/04/13,3320.0,-70.0,11660,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/04/12,3390.0,60.0,12190,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/04/11,3330.0,155.0,12520,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/04/10,3175.0,-90.0,18620,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/04/09,3265.0,-75.0,2450,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/04/06,3340.0,0.0,8750,0,6760,-6760,0,0,0,000060,皋府明拳犁,KR7000060004
2001/04/04,3340.0,-5.0,14990,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/04/03,3345.0,-120.0,13720,50,0,50,0,0,0,000060,皋府明拳犁,KR7000060004
2001/04/02,3465.0,-35.0,9060,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/30,3500.0,30.0,13050,0,10,-10,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/29,3470.0,-130.0,9780,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/28,3600.0,-50.0,16380,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/27,3650.0,60.0,15870,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/26,3590.0,65.0,11130,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/23,3525.0,35.0,8830,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/22,3490.0,-30.0,15810,0,10,-10,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/21,3520.0,-80.0,16350,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/20,3600.0,30.0,13370,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/19,3570.0,-20.0,14500,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/16,3590.0,240.0,54440,0,370,-370,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/15,3350.0,-150.0,27870,0,1050,-1050,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/14,3500.0,120.0,34550,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/13,3380.0,-370.0,26350,0,560,-560,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/12,3750.0,-125.0,6470,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/09,3875.0,-25.0,6530,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/08,3900.0,110.0,12240,0,10,-10,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/07,3790.0,-10.0,12300,20,0,20,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/06,3800.0,-40.0,32320,0,20,-20,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/05,3840.0,-105.0,14680,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/03/02,3945.0,-135.0,15570,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/28,4080.0,40.0,23620,0,2860,-2860,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/27,4040.0,-35.0,23940,0,10,-10,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/26,4075.0,50.0,27790,0,20,-20,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/23,4025.0,25.0,18900,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/22,4000.0,-100.0,32310,0,20,-20,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/21,4100.0,-50.0,52750,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/20,4150.0,175.0,67260,0,860,-860,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/19,3975.0,-75.0,29980,0,390,-390,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/16,4050.0,-150.0,40630,0,730,-730,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/15,4200.0,-90.0,29860,0,1140,-1140,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/14,4290.0,70.0,32790,0,3080,-3080,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/13,4220.0,20.0,56530,0,2200,-2200,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/12,4200.0,50.0,43990,0,2550,-2550,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/09,4150.0,140.0,48350,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/08,4010.0,55.0,27640,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/07,3955.0,-125.0,16410,0,0,0,100,0,100,000060,皋府明拳犁,KR7000060004
2001/02/06,4080.0,80.0,30900,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/05,4000.0,-330.0,46880,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/02,4330.0,-60.0,22370,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/02/01,4390.0,-110.0,52200,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/31,4500.0,120.0,51290,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/30,4380.0,-80.0,39430,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/29,4460.0,-50.0,54520,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/26,4510.0,-120.0,207460,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/22,4630.0,410.0,116620,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/19,4220.0,10.0,30650,0,1350,-1350,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/18,4210.0,45.0,45400,0,650,-650,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/17,4165.0,-235.0,60980,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/16,4400.0,100.0,82730,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/15,4300.0,-120.0,73310,0,10,-10,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/12,4420.0,20.0,171560,2000,10000,-8000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/11,4400.0,500.0,86580,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/10,3900.0,-680.0,152740,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/09,4580.0,-200.0,191710,0,10,-10,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/08,4780.0,295.0,438140,2500,50410,-47910,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/05,4485.0,585.0,264400,5000,39330,-34330,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/04,3900.0,480.0,76430,0,10,-10,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/03,3420.0,120.0,28860,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/01/02,3300.0,195.0,13930,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
钦拌,,,26738040,2616100,2663290,-47190,330950,380210,-49260,000060,皋府明拳犁,KR7000060004
